縣市,郵遞區號,鄉鎮區,Latitude,Longitude,英文,藍新金流
台南市,716,台南市南化區,23.1079133,120.5624474,"Nanhua Dist., Tainan City",南市
台南市,717,台南市仁德區,22.9472553,120.2511778,"Rende Dist., Tainan City",南市
台南市,718,台南市關廟區,22.9637053,120.3320195,"Guanmiao Dist., Tainan City",南市
台南市,719,台南市龍崎區,22.9540045,120.378138,"Longqi Dist., Tainan City",南市
台南市,720,台南市官田區,23.1948768,120.3550808,"Guantian Dist., Tainan City",南市
台南市,721,台南市麻豆區,23.1763401,120.2397336,"Madou Dist., Tainan City",南市
台南市,722,台南市佳里區,23.1694465,120.1704766,"Jiali Dist., Tainan City",南市
台南市,723,台南市西港區,23.1257853,120.1993381,"Xigang Dist., Tainan City",南市
台南市,724,台南市七股區,23.1195166,120.1011836,"Qigu Dist., Tainan City",南市
台南市,725,台南市將軍區,23.2054945,120.1011836,"Jiangjun Dist., Tainan City",南市
台南市,726,台南市學甲區,23.2553798,120.1704766,"Xuejia Dist., Tainan City",南市
台南市,727,台南市北門區,23.2866026,120.1242853,"Beimen Dist., Tainan City",南市
台南市,730,台南市新營區,23.3119567,120.3089541,"Xinying Dist., Tainan City",南市
台南市,731,台南市後壁區,23.3665101,120.3550808,"Houbi Dist., Tainan City",南市
台南市,732,台南市白河區,23.3336369,120.4588059,"Baihe Dist., Tainan City",南市
台南市,733,台南市東山區,23.2825014,120.447285,"Dongshan Dist., Tainan City",南市
台南市,734,台南市六甲區,23.2426813,120.3320195,"Liujia Dist., Tainan City",南市
台南市,735,台南市下營區,23.2292915,120.2685799,"Xiaying Dist., Tainan City",南市
台南市,736,台南市柳營區,23.2806957,120.3550808,"Liuying Dist., Tainan City",南市
台南市,737,台南市鹽水區,23.2622306,120.2397336,"Yanshui Dist., Tainan City",南市
台南市,741,台南市善化區,23.1402613,120.3089541,"Shanhua Dist., Tainan City",南市
台南市,742,台南市大內區,23.1421962,120.4011911,"Danei Dist., Tainan City",南市
台南市,743,台南市山上區,23.0893067,120.3723741,"Shanshang Dist., Tainan City",南市
台南市,744,台南市新市區,23.0780281,120.2919179,"Xinshi Dist., Tainan City",南市
台南市,745,台南市安定區,23.090792,120.2334385,"Anding Dist., Tainan City",南市
高雄市,800,高雄市新興區,22.6283893,120.3060706,"Xinxing Dist., Kaohsiung City",高市
高雄市,801,高雄市前金區,22.6252508,120.2953492,"Qianjin Dist., Kaohsiung City",高市
高雄市,802,高雄市苓雅區,22.6268814,120.3262535,"Lingya Dist., Kaohsiung City",高市
高雄市,803,高雄市鹽埕區,22.6235157,120.2837442,"Yancheng Dist., Kaohsiung City",高市
高雄市,804,高雄市鼓山區,22.6495866,120.2685799,"Gushan Dist., Kaohsiung City",高市
高雄市,805,高雄市旗津區,22.6141771,120.2659394,"Qijin Dist., Kaohsiung City",高市
高雄市,806,高雄市前鎮區,22.5970794,120.3147208,"Qianzhen Dist., Kaohsiung City",高市
高雄市,807,高雄市三民區,22.6483444,120.3262535,"Sanmin Dist., Kaohsiung City",高市
